gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,costat,ggroup,gind,gsector,gsubind
019925,20211231,2021,INDL,C,D,STD,TPVG,TRIPLEPOINT VENTURE GWTH BDC,USD,927.6700,A,4020,402030,40,40203010
019927,20211231,2021,INDL,C,D,STD,MC,MOELIS & CO,USD,1555.6810,A,4020,402030,40,40203020
019927,20211231,2021,FS,C,D,STD,MC,MOELIS & CO,USD,1555.6810,A,4020,402030,40,40203020
019935,20211231,2021,INDL,C,D,STD,ENLC,ENLINK MIDSTREAM LLC,USD,8483.2000,A,1010,101020,10,10102040
019944,20211231,2021,INDL,C,D,STD,AIRR,FIRST TR AM INDL RENAISSANCE,USD,,A,,,,
019945,20211231,2021,INDL,C,D,STD,DDIV,FIRST TRUST DRSY WRHT MTM,USD,,A,,,,
019959,20211231,2021,INDL,C,D,STD,GVAL,CAMBRIA GLOBAL VALUE ETF,USD,,A,,,,
019967,20210630,2021,INDL,C,D,STD,AGTC,APPLIED GENETIC TECHNOLOGIES,USD,126.9660,A,3520,352010,35,35201010
019974,20211231,2021,INDL,C,D,STD,TSLX,SIXTH STREET SPECIALTY LENDI,USD,2551.8570,A,4020,402030,40,40203010
019977,20211231,2021,INDL,C,D,STD,WATT,ENERGOUS CORP,USD,51.3710,A,2010,201040,20,20104010
019987,20211231,2021,INDL,C,D,STD,AEGXF,AECON GROUP INC,CAD,3286.8170,A,2010,201030,20,20103010
019998,20211231,2021,INDL,C,D,STD,MEDP,MEDPACE HOLDINGS INC,USD,1659.9350,A,3520,352030,35,35203010
020007,20211231,2021,INDL,C,D,STD,DPMLF,DUNDEE PRECIOUS METLS  -CL A,USD,1168.4100,A,1510,151040,15,15104030
020011,20211231,2021,INDL,C,D,STD,TMST,TIMKENSTEEL CORP,USD,1158.9000,A,1510,151040,15,15104050
020019,20211231,2021,INDL,C,D,STD,CVBF,CVB FINANCIAL CORP,USD,15883.6970,A,4010,401010,40,40101015
020019,20211231,2021,FS,C,D,STD,CVBF,CVB FINANCIAL CORP,USD,15883.6970,A,4010,401010,40,40101015
020020,20211231,2021,INDL,C,D,STD,CVEO,CIVEO CORP,USD,672.7340,A,2020,202010,20,20201070
020041,20211231,2021,INDL,C,D,STD,TEDU,TARENA INTL INC  -ADR,USD,258.4500,A,2530,253020,25,25302010
020044,20211231,2021,INDL,C,D,STD,BGSF,BGSF INC,USD,148.2940,A,2020,202020,20,20202010
020059,20211031,2021,INDL,C,D,STD,FREVS,FIRST REAL ESTATE TR NJ INC,USD,346.1050,A,6010,601010,60,60101010
020066,20211231,2021,INDL,C,D,STD,FPL,FIRST TR NEW OPP MLP &ENERGY,USD,,A,,,,
020067,20211231,2021,INDL,C,D,STD,IHG,INTERCONTINENTAL HOTELS GRP,USD,4716.0000,A,2530,253010,25,25301020
020087,20211231,2021,INDL,C,D,STD,TOLZ,PROSHARES DJ BROOKFIELD GLBL,USD,,A,,,,
020088,20220131,2021,INDL,C,D,STD,BOX,BOX INC,USD,1392.0090,A,4510,451030,45,45103010
020089,20211231,2021,INDL,C,D,STD,TMX,TERMINIX GLOBAL HOLDINGS INC,USD,4410.0000,A,2530,253020,25,25302020
020098,20211231,2021,INDL,C,D,STD,EDOG,ALPS EMERG SECTOR DIV DOGS,USD,,A,,,,
020105,20211231,2021,INDL,C,D,STD,FSK,FS KKR CAPITAL CORP,USD,17228.0000,A,4020,402030,40,40203010
020109,20211231,2021,INDL,C,D,STD,CCBG,CAPITAL CITY BK GROUP INC,USD,4263.8490,A,4010,401010,40,40101015
020109,20211231,2021,FS,C,D,STD,CCBG,CAPITAL CITY BK GROUP INC,USD,4263.8490,A,4010,401010,40,40101015
020115,20210630,2021,INDL,C,D,STD,PAHC,PHIBRO ANIMAL HEALTH CORP,USD,841.3250,A,3520,352020,35,35202010
020116,20211231,2021,INDL,C,D,STD,PAYC,PAYCOM SOFTWARE INC,USD,3215.1450,A,4510,451030,45,45103010
020129,20211231,2021,INDL,C,D,STD,MTLS,MATERIALISE NV  -ADR,USD,470.1800,A,4510,451030,45,45103010
020147,20211231,2021,INDL,C,D,STD,SDPI,SUPERIOR DRILLING PRODUCTS,USD,14.6120,A,1010,101010,10,10101020
020170,20211231,2021,INDL,C,D,STD,TOUR,TUNIU CORP  -ADR,USD,361.7220,A,2530,253010,25,25301020
020179,20211231,2021,INDL,C,D,STD,GLOP,GASLOG PARTNERS LP,USD,2131.7330,A,1010,101020,10,10102040
020185,20210930,2021,INDL,C,D,STD,SMG,SCOTTS MIRACLE-GRO CO,USD,4800.0000,A,1510,151010,15,15101030
020190,20211231,2021,INDL,C,D,STD,GF,NEW GERMANY FUND INC,USD,,A,,,,
020214,20211231,2021,INDL,C,D,STD,ERF,ENERPLUS CORP,CAD,2518.2840,A,1010,101020,10,10102020
020225,20211231,2021,INDL,C,D,STD,NERV,MINERVA NEUROSCIENCES INC,USD,77.1220,A,3520,352010,35,35201010
020228,20210630,2021,INDL,C,D,STD,CTLT,CATALENT INC,USD,9112.0000,A,3520,352020,35,35202010
020229,20211231,2021,INDL,C,D,STD,ZEN,ZENDESK INC,USD,2451.2790,A,4510,451030,45,45103010
020232,20211031,2021,INDL,C,D,STD,KEYS,KEYSIGHT TECHNOLOGIES INC,USD,7781.0000,A,4520,452030,45,45203010
020233,20211231,2021,INDL,C,D,STD,TBPH,THERAVANCE BIOPHARMA INC,USD,374.8190,A,3520,352020,35,35202010
020235,20211231,2021,INDL,C,D,STD,DNOW,NOW INC,USD,1104.0000,A,2010,201070,20,20107010
020269,20210831,2021,INDL,C,D,STD,CWLPF,CALDWELL PARTNERS INTL INC,CAD,87.1330,A,2020,202020,20,20202010
020285,20211031,2021,INDL,C,D,STD,CBWBF,CANADIAN WESTERN BANK,CAD,37323.1760,A,4010,401010,40,40101015
020285,20211031,2021,FS,C,D,STD,CBWBF,CANADIAN WESTERN BANK,CAD,37323.1760,A,4010,401010,40,40101015
020299,20211231,2021,INDL,C,D,STD,LOB,LIVE OAK BANCSHARES INC,USD,8213.3930,A,4010,401010,40,40101015
020299,20211231,2021,FS,C,D,STD,LOB,LIVE OAK BANCSHARES INC,USD,8213.3930,A,4010,401010,40,40101015
020300,20211231,2021,INDL,C,D,STD,CETEF,CATHEDRAL ENERGY SVCS LTD,CAD,75.4230,A,1010,101010,10,10101010
020315,20210831,2021,INDL,C,D,STD,CGECF,COGECO INC  -SUB VTG,CAD,7536.3130,A,5020,502010,50,50201030
020323,20211231,2021,INDL,C,D,STD,BNEFF,BONTERRA ENERGY CORP,CAD,945.7210,A,1010,101020,10,10102020
020333,20210731,2021,INDL,C,D,STD,IBXNF,IBEX TECHNOLOGIES INC,CAD,9.4580,A,3520,352010,35,35201010
020338,20211231,2021,INDL,C,D,STD,PRMW,PRIMO WATER CORP,USD,3723.4000,A,3020,302010,30,30201030
020341,20211231,2021,INDL,C,D,STD,XEU.,ISHARES MSCI EUROPE IMI IDX,CAD,,A,,,,
020389,20211231,2021,INDL,C,D,STD,BYLD,ISHARES YIELD OPTIMIZED BOND,USD,,A,,,,
020392,20210930,2021,INDL,C,D,STD,EXCOF,EXCO TECHNOLOGIES LTD,CAD,430.1270,A,2510,251010,25,25101010
020400,20211231,2021,INDL,C,D,STD,XEH.,ISHARES MSCI EU IMI CAD-HDG,CAD,,A,,,,
020412,20211231,2021,INDL,C,D,STD,ARES,ARES MANAGEMENT CORP,USD,21605.1640,A,4020,402030,40,40203010
020416,20211231,2021,INDL,C,D,STD,ECVTF,ECONOMIC INVESTMENT TR LTD,CAD,1194.5450,A,4020,402030,40,40203010
020420,20211231,2021,INDL,C,D,STD,OEC,ORION ENGINEERED CARBONS SA,USD,1631.0000,A,1510,151010,15,15101010
020422,20211231,2021,INDL,C,D,STD,HRTG,HERITAGE INSURANCE HOLDINGS,USD,1980.7620,A,4030,403010,40,40301040
020430,20211231,2021,INDL,C,D,STD,SLM,SLM CORP,USD,29221.8990,A,4020,402020,40,40202010
020430,20211231,2021,FS,C,D,STD,SLM,SLM CORP,USD,29221.8990,A,4020,402020,40,40202010
020443,20211231,2021,INDL,C,D,STD,PHR.,PURPOSE DURATION HGD RL EST,CAD,,A,,,,
020446,20211231,2021,INDL,C,D,STD,PHE.B,PURPOSE TACTICAL HDGD EQ NON,CAD,,A,,,,
020448,20211231,2021,INDL,C,D,STD,CN,XTRACKERS MSCI ALL CHINA EQU,USD,,A,,,,
020452,20211231,2021,INDL,C,D,STD,PBI.,PURPOSE BEST IDEAS FUND,CAD,,A,,,,
020456,20211231,2021,INDL,C,D,STD,HMFAF,HAMMOND MFG LTD  -CL A,CAD,136.9760,A,2010,201040,20,20104010
020463,20211231,2021,INDL,C,D,STD,VRP,INVESCO VARIABLE RATE PREFER,USD,,A,,,,
020466,20211231,2021,INDL,C,D,STD,QAT,ISHARES MSCI QATAR CAPPD ETF,USD,,A,,,,
020467,20211231,2021,INDL,C,D,STD,UAE,ISHARES MSCI UAE CAPPED ETF,USD,,A,,,,
020473,20211231,2021,INDL,C,D,STD,WLKP,WESTLAKE CHEMICAL PRTNRS LP,USD,1480.6980,A,1510,151010,15,15101010
020483,20211130,2021,INDL,C,D,STD,FTGFF,FIRAN TECHNOLOGY GROUP CORP,CAD,79.4520,A,4520,452030,45,45203020
020487,20211231,2021,INDL,C,D,STD,HMCBF,HOME CAPITAL GROUP INC -CL B,CAD,20146.9540,A,4010,401020,40,40102010
